x,y
0,28.85
1,30.11
2,31.37
3,32.63
4,33.89
5,35.15
6,36.41
7,37.67
8,38.93
9,40.19
10,41.45
11,42.71
12,43.97
13,45.23
14,46.49
15,47.75
16,49.01
17,50.27
18,51.53
19,52.79
20,54.05
21,55.31
22,56.57
23,57.83
24,59.09
25,60.35
26,61.61
27,62.87
28,64.13
29,65.39
30,66.65
31,67.91
32,69.17
33,70.43
34,71.69
35,72.95
36,74.21
37,75.47
38,76.73
39,77.99
40,79.25
41,80.51
42,81.77
43,83.03
44,84.29
45,85.55
46,86.81
47,88.07
48,89.33
49,90.59
50,91.85
51,93.11
52,94.37
53,95.63
54,96.89
55,98.15
56,99.41
57,100.67
58,101.93
59,103.19
60,104.45
61,105.71
62,106.97
63,108.23
64,109.49
65,110.75
66,112.01
67,113.27
68,114.53
69,115.79
70,117.05
71,118.31
72,119.57
73,120.83
74,122.09
75,123.35
76,124.61
77,125.87
78,127.13
79,128.39
80,129.65
81,130.91
82,132.17
83,133.43
84,134.69
85,135.95
86,137.21
87,138.47
88,139.73
89,140.99
90,142.25
91,143.51
92,144.77
93,146.03
94,147.29
95,148.55
96,149.81
97,151.07
98,152.33
99,153.59
