0,25.85
1,27.07
2,28.29
3,29.51
4,30.73
5,31.95
6,33.17
7,34.39
8,35.61
9,36.83
10,38.05
11,39.27
12,40.49
13,41.71
14,42.93
15,44.15
16,45.37
17,46.59
18,47.81
19,49.03
20,50.25
21,51.47
22,52.69
23,53.91
24,55.13
25,56.35
26,57.57
27,58.79
28,60.01
29,61.23
30,62.45
31,63.67
32,64.89
33,66.11
34,67.33
35,68.55
36,69.77
37,70.99
38,72.21
39,73.43
40,74.65
41,75.87
42,77.09
43,78.31
44,79.53
45,80.75
46,81.97
47,83.19
48,84.41
49,85.63
50,86.85
51,88.07
52,89.29
53,90.51
54,91.73
55,92.95
56,94.17
57,95.39
58,96.61
59,97.83
60,99.05
61,100.27
62,101.49
63,102.71
64,103.93
65,105.15
66,106.37
67,107.59
68,108.81
69,110.03
70,111.25
71,112.47
72,113.69
73,114.91
74,116.13
75,117.35
76,118.57
77,119.79
78,121.01
79,122.23
80,123.45
81,124.67
82,125.89
83,127.11
84,128.33
85,129.55
86,130.77
87,131.99
88,133.21
89,134.43
90,135.65
91,136.87
92,138.09
93,139.31
94,140.53
95,141.75
96,142.97
97,144.19
98,145.41
99,146.63
